core_str,candidate_rank,rule_type,rule,sample_size,sample_tier,hit_count,hit_rate_pct,baseline_rate_pct,relative_lift_x,lift_pct_points,confidence_score,meets_signal_floor
457,333,stream_seed_trait_core,StreamKey==Connecticut | Play 4 Day AND seed_parity==EEEE -> core 457,57,CANDIDATE_50_99,3,5.263,0.392,13.422,4.871,0.060774,False
457,552,stream_seed_trait_core,StreamKey==Michigan | Daily 4 Evening AND seed_highlow==HHHL -> core 457,72,CANDIDATE_50_99,3,4.167,0.392,10.626,3.775,0.047099,False
457,588,stream_seed_trait_core,StreamKey==Atlantic Canada | Lotto 4 AND seed_parity==EEEE -> core 457,73,CANDIDATE_50_99,3,4.11,0.392,10.48,3.717,0.046376,False
457,781,stream_seed_trait_core,StreamKey==Missouri | Pick 4 Midday AND seed_parity==EEEE -> core 457,78,CANDIDATE_50_99,3,3.846,0.392,9.809,3.454,0.043094,False
457,824,stream_seed_trait_core,StreamKey==Missouri | Pick 4 Midday AND seed_parity==OEOE -> core 457,79,CANDIDATE_50_99,3,3.797,0.392,9.684,3.405,0.042484,False
567,1,stream_seed_trait_core,StreamKey==Idaho | Pick 4 Day AND seed_consec_links==0 -> core 567,677,STRONG_STABLE_250_PLUS,10,1.477,0.355,4.155,1.122,0.039741,True
567,3,stream_core,StreamKey==Idaho | Pick 4 Day -> core 567,1232,STRONG_STABLE_250_PLUS,14,1.136,0.355,3.197,0.781,0.024034,True
567,214,stream_seed_trait_core,StreamKey==Idaho | Pick 4 Day AND seed_parity==EEOO -> core 567,64,CANDIDATE_50_99,4,6.25,0.355,17.581,5.895,0.151802,False
567,287,seed_trait_core,seed_sorted==0044 -> core 567,53,CANDIDATE_50_99,3,5.66,0.355,15.923,5.305,0.06619,False
567,321,stream_seed_trait_core,StreamKey==Idaho | Pick 4 Day AND DayOfWeek==Saturday -> core 567,177,STABLE_100_249,5,2.825,0.355,7.946,2.469,0.062484,False
567,392,stream_seed_trait_core,StreamKey==Idaho | Pick 4 Day AND seed_highlow==HLHH -> core 567,65,CANDIDATE_50_99,3,4.615,0.355,12.983,4.26,0.053151,False
567,417,stream_seed_trait_core,StreamKey==Oregon | Pick 4 10pm AND seed_highlow==HHLH -> core 567,67,CANDIDATE_50_99,3,4.478,0.355,12.596,4.122,0.051428,False
567,431,stream_seed_trait_core,StreamKey==Idaho | Pick 4 Day AND seed_spread_bucket==spread_7_plus -> core 567,514,STRONG_STABLE_250_PLUS,9,1.751,0.355,4.925,1.395,0.050619,False
567,712,stream_seed_trait_core,StreamKey==Idaho | Pick 4 Night AND seed_parity==EEOO -> core 567,77,CANDIDATE_50_99,3,3.896,0.355,10.96,3.541,0.04418,False
567,753,stream_seed_trait_core,StreamKey==Atlantic Canada | Lotto 4 AND seed_highlow==LHHL -> core 567,78,CANDIDATE_50_99,3,3.846,0.355,10.819,3.491,0.043556,False
567,833,stream_seed_trait_core,StreamKey==Connecticut | Play 4 Night AND seed_parity==OEOO -> core 567,80,CANDIDATE_50_99,3,3.75,0.355,10.549,3.395,0.042358,False
567,834,stream_seed_trait_core,StreamKey==Oregon | Pick 4 7pm AND seed_parity==EOEO -> core 567,80,CANDIDATE_50_99,3,3.75,0.355,10.549,3.395,0.042358,False
567,971,stream_seed_trait_core,StreamKey==New Jersey | Pick 4 Evening AND seed_highlow==HHLL -> core 567,84,CANDIDATE_50_99,3,3.571,0.355,10.046,3.216,0.040124,False
679,375,stream_seed_trait_core,StreamKey==Puerto Rico | Pega 4 Día AND seed_parity==OEEE -> core 679,63,CANDIDATE_50_99,3,4.762,0.379,12.558,4.383,0.054685,False
679,462,stream_seed_trait_core,StreamKey==Oregon | Pick 4 4pm AND seed_parity==EOEO -> core 679,69,CANDIDATE_50_99,3,4.348,0.379,11.466,3.969,0.04952,False
679,577,stream_seed_trait_core,StreamKey==New Jersey | Pick 4 Evening AND seed_highlow==HHHL -> core 679,73,CANDIDATE_50_99,3,4.11,0.379,10.838,3.73,0.046538,False
679,624,seed_trait_core,seed_digit_family==25 -> core 679,140,STABLE_100_249,4,2.857,0.379,7.535,2.478,0.045579,False
679,643,stream_seed_trait_core,StreamKey==Maryland | Pick 4 Evening AND seed_parity==OOOE -> core 679,75,CANDIDATE_50_99,3,4.0,0.379,10.549,3.621,0.045179,False
679,772,stream_seed_trait_core,StreamKey==Florida | Pick 4 Midday AND seed_parity==OEOE -> core 679,78,CANDIDATE_50_99,3,3.846,0.379,10.143,3.467,0.043257,False
679,812,stream_seed_trait_core,StreamKey==Kentucky | Pick 4 Evening AND seed_parity==OOEE -> core 679,79,CANDIDATE_50_99,3,3.797,0.379,10.015,3.418,0.042645,False
679,920,stream_seed_trait_core,StreamKey==Rhode Island | Numbers Game Evening AND seed_highlow==LLHH -> core 679,82,CANDIDATE_50_99,3,3.659,0.379,9.648,3.279,0.040911,False
