event_id,draw_date,stream,prior_draw_date,prior_result_used_as_seed,seed,base4,seed_core,actual_core,last1_aabc_core,last2_aabc_core,last3_aabc_core,target_core,config,evidence_score,rule_count,max_precision,max_lift,total_support,total_target_hits,final_stream_core_score,has_rule_evidence,matrix_rank_in_stream,daily_opportunity_rank,stream_core_rank_by_deep_score,HISTORY_THROUGH,PLAY_DATE,core_score,full_core_rank,daily_opportunity_rank_num,is_watched8_core,watched8_rank,prior_seed_core,last1_norm,prior_seed_core_for_transition,global_prevcore_to_core_count,stream_prevcore_to_core_count,stream_core_hit_count,lane_top4_normal,lane_watched8_transition,lane_watched8_buried,lane_stream_affinity,trap_keep,trap_lane,trap_lane_weight,trap_priority_score
70,2026-06-18,"Tri-State (ME, NH & VT) | Pick 4 Evening",2026-06-17,3605,3605,,,,039,079,456,027,ALL_BALANCED,62.690560837981764,19.0,1.0,1.9704,373.0,276.0,62.690560837981764,True,1,4,1,2026-06-17,2026-06-18,62.690560837981764,1,4,True,1,,039,,0,0,4,True,False,False,True,True,STREAM_AFFINITY,4,523.8916962932936
49,2026-06-18,Oregon | Pick 4 10pm,2026-06-17,7841,7841,,,,358,257,467,027,ALL_BALANCED,26.25595744543905,7.0,1.0,1.9704,130.0,102.0,26.25595744543905,True,2,277,2,2026-06-17,2026-06-18,26.25595744543905,2,277,True,2,,358,,0,0,6,True,False,False,True,True,STREAM_AFFINITY,4,512.0895851059037
59,2026-06-18,Rhode Island | Numbers Game Midday,2026-06-17,0905,0905,,059,,059,089,234,679,ALL_BALANCED,25.892681974584704,10.0,0.75,1.4426,124.0,90.0,25.892681974584704,True,5,286,5,2026-06-17,2026-06-18,25.892681974584704,5,286,True,1,059,059,059,2,0,4,True,False,False,True,True,STREAM_AFFINITY,4,514.8124386911047
25,2026-06-18,Louisiana | Pick 4,2026-06-17,5192,5192,,,,458,015,347,457,ALL_BALANCED,25.79728519943226,8.0,0.8095,1.5858,136.0,103.0,25.79728519943226,True,2,290,2,2026-06-17,2026-06-18,25.79728519943226,2,290,True,1,,458,,0,0,6,True,False,False,True,True,STREAM_AFFINITY,4,511.9290498198012
44,2026-06-18,North Carolina | Pick 4 Evening,2026-06-17,9533,9533,,359,,359,358,018,389,ALL_BALANCED,25.661782656743608,8.0,0.9231,1.7921,108.0,85.0,25.661782656743608,True,3,297,3,2026-06-17,2026-06-18,25.661782656743608,3,297,True,1,359,359,359,1,0,1,True,False,False,False,True,TOP4_NORMAL,3,611.3316239298603
51,2026-06-18,Oregon | Pick 4 4pm,2026-06-17,1658,1658,,,,348,569,489,027,ALL_BALANCED,25.32222809924961,8.0,0.8571,1.8107,121.0,91.0,25.32222809924961,True,1,306,1,2026-06-17,2026-06-18,25.32222809924961,1,306,True,1,,348,,0,0,4,True,False,False,True,True,STREAM_AFFINITY,4,510.81277983473734
1,2026-06-18,Arizona | Pick 4 Midday,2026-06-17,6298,6298,,,,,,,389,ALL_BALANCED,25.122209333687334,8.0,0.8095,1.5717,148.0,110.0,25.122209333687334,True,5,317,5,2026-06-17,2026-06-18,25.122209333687334,5,317,True,1,,,,0,0,0,True,False,False,False,True,TOP4_NORMAL,3,608.5427732667906
44,2026-06-18,North Carolina | Pick 4 Evening,2026-06-17,9533,9533,,359,,359,358,018,457,ALL_BALANCED,24.932675978683974,8.0,0.8333,1.6416,111.0,85.0,24.932675978683974,True,4,322,4,2026-06-17,2026-06-18,24.932675978683974,4,322,True,2,359,359,359,4,0,6,True,True,False,True,True,WATCHED8_TRANSITION,2,919.5264365925393
1,2026-06-18,Arizona | Pick 4 Midday,2026-06-17,6298,6298,,,,,,,067,ALL_BALANCED,24.721364878356596,7.0,0.8462,1.7452,127.0,97.0,24.721364878356596,True,6,337,6,2026-06-17,2026-06-18,24.721364878356596,6,337,True,2,,,,0,0,0,True,False,False,False,True,TOP4_NORMAL,3,608.3524777074249
76,2026-06-18,West Virginia | Daily 4,2026-06-17,9265,9265,,,,156,089,245,067,ALL_BALANCED,24.721364878356596,7.0,0.8462,1.7452,127.0,97.0,24.721364878356596,True,7,338,7,2026-06-17,2026-06-18,24.721364878356596,7,338,True,1,,156,,0,0,3,True,False,False,False,True,TOP4_NORMAL,3,609.8024777074248
5,2026-06-18,California | Daily 4,2026-06-17,8070,8070,,078,,078,478,379,389,ALL_BALANCED,24.347901590847727,8.0,0.8095,1.5717,128.0,96.0,24.347901590847727,True,3,357,3,2026-06-17,2026-06-18,24.347901590847727,3,357,True,1,078,078,078,2,0,6,True,False,False,True,True,STREAM_AFFINITY,4,515.3717655567967
